clip,ball_cell,grid_row,grid_col,px,py,changed_pixels
1,D5,D,5,394.9,242.8,31
2,D8,D,8,601.0,274.7,19
3,C5,C,5,345.0,195.5,26
4,C7,C,7,551.5,203.0,24
5,C9,C,9,681.7,214.8,20
6,C9,C,9,709.2,221.3,25
7,D6,D,6,431.9,278.7,27
8,C7,C,7,514.9,167.9,27
9,B8,B,8,564.6,150.7,17
10,C8,C,8,604.8,164.1,12
11,B6,B,6,451.4,147.1,17
12,C7,C,7,513.6,170.8,21
13,C8,C,8,623.2,209.4,15
14,D9,D,9,703.8,260.4,29
15,D12,D,12,901.6,246.0,27
16,C11,C,11,865.0,213.6,21
17,B9,B,9,715.2,93.2,26
18,C7,C,7,519.1,189.5,16
19,C12,C,12,932.7,223.8,22
20,C9,C,9,672.2,183.7,18
21,C11,C,11,813.3,190.0,17
22,B8,B,8,560.0,148.2,20
23,C9,C,9,664.9,180.1,16
24,C10,C,10,723.1,190.1,23
25,C9,C,9,650.1,193.3,5
26,C9,C,9,709.6,222.3,19
27,C8,C,8,570.4,186.3,12
28,C7,C,7,507.5,202.0,12
29,D8,D,8,588.3,261.1,9
30,C10,C,10,758.2,173.0,13
