clip,frame,t_sec,people,team_blue,team_red,goalkeepers
1,0,0.0,15,7,8,0
1,1,0.1,16,7,9,0
1,2,0.2,17,7,10,0
1,3,0.3,17,7,10,0
1,4,0.4,17,7,10,0
1,5,0.5,17,7,10,0
1,6,0.6,17,7,10,0
1,7,0.7,17,7,10,0
1,8,0.8,18,8,10,0
1,9,0.9,18,8,10,0
1,10,1.0,19,9,10,0
1,11,1.1,19,9,10,0
1,12,1.2,19,9,10,0
1,13,1.3,19,9,10,0
1,14,1.4,19,9,10,0
1,15,1.5,19,9,10,0
1,16,1.6,19,9,10,0
1,17,1.7,19,9,10,0
1,18,1.8,20,10,10,0
1,19,1.9,20,10,10,0
1,20,2.0,20,10,10,0
1,21,2.1,20,10,10,0
1,22,2.2,20,10,10,0
1,23,2.3,20,10,10,0
1,24,2.4,20,10,10,0
1,25,2.5,20,10,10,0
1,26,2.6,19,10,9,0
1,27,2.7,19,10,9,0
1,28,2.8,19,10,9,0
1,29,2.9,19,10,9,0
1,30,3.0,19,10,9,0
1,31,3.1,20,10,10,0
1,32,3.2,20,10,10,0
1,33,3.3,20,10,10,0
1,34,3.4,20,10,10,0
1,35,3.5,20,10,10,0
1,36,3.6,20,10,10,0
1,37,3.7,20,10,10,0
1,38,3.8,20,10,10,0
1,39,3.9,19,10,9,0
1,40,4.0,19,10,9,0
1,41,4.1,19,10,9,0
1,42,4.2,19,10,9,0
1,43,4.3,19,10,9,0
1,44,4.4,19,10,9,0
1,45,4.5,19,10,9,0
1,46,4.6,19,10,9,0
1,47,4.7,19,10,9,0
1,48,4.8,19,10,9,0
1,49,4.9,19,10,9,0
2,0,0.0,19,10,9,0
2,1,0.1,19,10,9,0
2,2,0.2,19,10,9,0
2,3,0.3,19,10,9,0
2,4,0.4,18,10,8,0
2,5,0.5,18,10,8,0
2,6,0.6,18,10,8,0
2,7,0.7,18,10,8,0
2,8,0.8,17,9,8,0
2,9,0.9,17,9,8,0
2,10,1.0,17,9,8,0
2,11,1.1,16,8,8,0
2,12,1.2,16,8,8,0
2,13,1.3,16,8,8,0
2,14,1.4,15,7,8,0
2,15,1.5,15,7,8,0
2,16,1.6,15,7,8,0
2,17,1.7,16,7,9,0
2,18,1.8,17,8,9,0
2,19,1.9,16,8,8,0
2,20,2.0,16,8,8,0
2,21,2.1,16,8,8,0
2,22,2.2,16,8,8,0
2,23,2.3,15,7,8,0
2,24,2.4,15,7,8,0
2,25,2.5,15,7,8,0
2,26,2.6,15,7,8,0
2,27,2.7,15,7,8,0
2,28,2.8,16,8,8,0
2,29,2.9,16,8,8,0
2,30,3.0,16,8,8,0
