clip,second,mean_people,min_people,max_people
1,0,16.9,15,18
1,1,19.2,19,20
1,2,19.6,19,20
1,3,19.8,19,20
1,4,19.0,19,19
2,0,18.2,17,19
2,1,15.9,15,17
2,2,15.5,15,16
2,3,16.5,16,17
2,4,15.9,15,16
3,0,15.5,15,16
3,1,16.8,15,18
3,2,16.3,16,17
3,3,16.2,15,17
3,4,17.0,17,17
4,0,16.1,14,18
4,1,14.0,14,14
4,2,13.6,13,14
4,3,14.0,14,14
4,4,13.2,13,14
5,0,7.4,7,10
5,1,11.1,10,12
5,2,13.9,13,14
5,3,14.3,14,15
5,4,16.7,15,17
6,0,17.0,17,17
6,1,16.3,15,17
6,2,14.5,14,15
6,3,15.8,15,16
6,4,16.0,16,16
7,0,17.0,16,18
7,1,18.9,18,19
7,2,18.4,18,19
7,3,18.2,17,19
7,4,17.8,17,19
8,0,17.0,17,17
8,1,16.8,16,18
8,2,15.0,15,15
8,3,12.9,12,15
8,4,16.2,14,18
9,0,17.5,17,18
9,1,18.3,17,19
9,2,16.1,15,17
9,3,14.9,14,15
9,4,13.3,12,15
10,0,14.9,14,16
10,1,17.0,17,17
10,2,17.0,17,17
10,3,17.0,17,17
10,4,17.0,17,17
11,0,17.0,17,17
11,1,15.4,15,16
11,2,14.9,14,15
11,3,13.9,13,14
11,4,13.3,13,14
12,0,12.6,12,13
12,1,11.3,11,12
12,2,10.8,10,12
12,3,12.6,12,13
12,4,14.2,13,15
13,0,16.9,15,18
13,1,19.2,18,20
13,2,19.2,19,20
13,3,19.0,19,19
13,4,20.0,20,20
14,0,20.0,20,20
14,1,19.9,19,20
14,2,19.3,19,20
14,3,19.0,19,19
14,4,18.7,17,19
15,0,15.6,15,17
15,1,15.5,15,17
15,2,17.1,16,18
15,3,16.5,16,17
15,4,15.7,15,16
16,0,13.9,12,15
16,1,13.1,12,14
16,2,14.9,14,16
16,3,17.5,16,18
16,4,16.0,14,17
17,0,13.7,13,15
17,1,15.0,15,15
17,2,16.8,16,17
17,3,16.7,16,17
17,4,15.3,13,17
18,0,13.6,13,14
18,1,14.2,13,15
18,2,12.7,12,13
18,3,13.9,13,15
18,4,15.0,15,15
19,0,17.2,16,19
19,1,18.0,18,18
19,2,17.4,17,18
19,3,18.8,18,19
19,4,16.6,16,17
20,0,16.0,16,16
20,1,15.3,15,16
20,2,15.0,15,15
20,3,16.5,16,17
20,4,16.2,16,17
21,0,17.6,16,18
21,1,18.1,18,19
21,2,18.0,18,18
21,3,17.4,16,18
21,4,14.8,10,16
22,0,15.6,14,16
22,1,16.6,16,17
22,2,16.0,16,16
22,3,16.0,16,16
22,4,17.7,16,20
23,0,16.7,14,18
23,1,12.2,12,13
23,2,14.5,13,16
23,3,15.5,15,16
23,4,14.0,14,14
24,0,15.0,14,16
24,1,16.0,16,16
24,2,15.7,15,16
24,3,14.2,14,15
24,4,14.0,14,14
25,0,16.9,16,18
25,1,19.3,19,20
25,2,16.6,15,18
25,3,15.4,15,17
25,4,18.5,17,19
26,0,19.7,19,20
26,1,19.1,18,20
26,2,16.0,15,18
26,3,16.8,15,18
26,4,18.7,18,19
27,0,15.3,13,18
27,1,15.4,13,19
27,2,18.7,18,19
27,3,18.0,18,18
27,4,18.0,18,18
28,0,17.7,17,18
28,1,19.2,18,20
28,2,18.1,18,19
28,3,19.1,18,20
28,4,20.0,20,20
29,0,19.7,19,20
29,1,17.5,16,19
29,2,16.3,16,18
29,3,15.7,15,16
29,4,15.0,15,15
30,0,17.7,16,18
30,1,17.7,17,18
30,2,16.0,15,17
30,3,15.9,15,17
30,4,15.3,15,17
