drill,variant,clip_base,seed,ball_start_cell,start_px,start_py,ball_final_cell,final_px,final_py
1,1,drill1_4v4_small_sided_v1,42,C8,621.4,194.8,C6,446.2,164.4
1,2,drill1_4v4_small_sided_v2,42,C9,702.0,191.2,D6,476.5,248.2
1,3,drill1_4v4_small_sided_v3,42,C7,510.8,199.7,D7,550.1,262.2
2,1,drill2_3v1_rondo_v1,42,C7,490.2,194.6,C10,762.6,182.8
2,2,drill2_3v1_rondo_v2,42,C7,505.2,190.9,C10,783.4,180.9
2,3,drill2_3v1_rondo_v3,42,C6,477.1,199.5,C8,603.7,211.5
3,1,drill3_5v2_rondo_v1,42,C12,949.4,167.8,C8,628.4,202.3
3,2,drill3_5v2_rondo_v2,42,B7,523.1,132.3,C10,753.0,161.2
3,3,drill3_5v2_rondo_v3,42,D11,871.4,263.3,C9,661.0,217.6
4,1,drill4_fast_break_3v2_v1,42,C9,643.7,193.8,C7,514.5,219.8
4,2,drill4_fast_break_3v2_v2,42,C9,657.7,189.8,B10,767.0,153.1
4,3,drill4_fast_break_3v2_v3,42,C8,632.2,199.4,C9,696.8,230.8
5,1,drill5_wing_cross_v1,42,D8,608.8,282.0,C11,827.5,196.3
5,2,drill5_wing_cross_v2,42,C8,625.5,225.7,D14,1071.1,304.8
5,3,drill5_wing_cross_v3,42,E8,591.9,373.0,C11,815.2,192.0
6,1,drill6_switch_of_play_v1,42,B7,526.2,127.8,C5,383.4,196.7
6,2,drill6_switch_of_play_v2,42,B7,545.0,86.9,C7,557.3,180.1
6,3,drill6_switch_of_play_v3,42,C7,507.7,167.1,C5,372.0,199.5
7,1,drill7_free_kick_v1,42,C9,657.4,199.8,C9,695.3,189.8
7,2,drill7_free_kick_v2,42,C9,670.8,194.9,C9,656.3,168.3
7,3,drill7_free_kick_v3,42,C9,646.4,206.5,C8,597.3,199.2
8,1,drill8_corner_kick_v1,42,E10,798.8,341.2,C9,645.5,208.8
8,2,drill8_corner_kick_v2,42,D11,802.0,268.3,C10,787.9,239.5
