clip,situation,shape,seed,match,start_frame,end_frame,n_frames,seconds,ball_start_cell,start_px,start_py,ball_final_cell,final_px,final_py,detail
header_01,header,boxL,21,boxL_s021,1000,1050,50,5.0,B14,1085.8,137.6,C8,625.4,167.8,{"anchor": 1020; "z": 1.46; "contested_by": 4; "apex_in": 9.61; "turn_cos": -0.91; "score": 49.61392307281494}
header_02,header,boxR,36,boxR_s036,236,286,50,5.0,B7,547.1,156.5,C8,600.1,198.9,{"anchor": 256; "z": 1.44; "contested_by": 4; "apex_in": 9.6; "turn_cos": -0.71; "score": 49.602797508239746}
header_03,header,flankL2,35,flankL2_s035,350,400,50,5.0,C11,819.7,173.0,C11,812.3,211.2,{"anchor": 370; "z": 1.58; "contested_by": 4; "apex_in": 1.58; "turn_cos": 0.17; "score": 41.57858669757843}
header_04,header,endtoend,47,endtoend_s047,496,546,50,5.0,B9,695.1,123.2,D7,519.5,278.0,{"anchor": 516; "z": 1.43; "contested_by": 3; "apex_in": 9.61; "turn_cos": 0.26; "score": 39.60559844970703}
header_05,header,pressR,11,pressR_s011,211,261,50,5.0,C11,867.2,195.8,C8,608.5,170.7,{"anchor": 231; "z": 1.38; "contested_by": 3; "apex_in": 9.6; "turn_cos": -0.88; "score": 39.60376453399658}
header_06,header,endtoend,30,endtoend_s030,1004,1054,50,5.0,A4,304.4,1.3,C9,711.5,188.5,{"anchor": 1024; "z": 2.05; "contested_by": 3; "apex_in": 9.6; "turn_cos": -0.12; "score": 39.597182273864746}
header_07,header,boxR,8,boxR_s008,890,940,50,5.0,C3,185.7,202.1,B9,659.0,108.5,{"anchor": 910; "z": 1.85; "contested_by": 3; "apex_in": 9.6; "turn_cos": -0.87; "score": 39.59622287750244}
header_08,header,pressR2,8,pressR2_s008,532,582,50,5.0,C3,185.7,202.1,C10,730.5,164.5,{"anchor": 552; "z": 1.85; "contested_by": 3; "apex_in": 9.6; "turn_cos": -0.87; "score": 39.59621620178223}
header_09,header,flankL2,12,flankL2_s012,340,390,50,5.0,B10,732.3,94.6,C10,736.0,195.5,{"anchor": 360; "z": 1.73; "contested_by": 3; "apex_in": 6.41; "turn_cos": -0.88; "score": 36.41166305541992}
header_10,header,endtoend,35,endtoend_s035,286,336,50,5.0,B8,573.7,87.1,C8,623.4,160.8,{"anchor": 306; "z": 1.5; "contested_by": 3; "apex_in": 5.22; "turn_cos": -1.0; "score": 35.21762990951538}
