clip,end_count,players_in_frame_first,players_in_frame_last,players_in_play,hidden_slots,level,seed,start_frame,end_frame,n_frames,seconds,ball_start_cell,start_px,start_py,ball_final_cell,final_px,final_py
end16_01,16,12,16,22,3,g2_pd01,11,0,50,50,5.0,C8,622.8,218.7,C8,592.3,161.7
end16_02,16,12,16,22,3,g2_pd01,23,0,50,50,5.0,C8,621.0,218.9,C10,730.2,161.3
end16_03,16,13,16,22,3,g2_pd01,37,0,50,50,5.0,C8,622.5,218.6,C10,770.2,161.7
end16_04,16,14,16,22,0,g2_pd02,23,65,115,50,5.0,B9,681.0,144.0,C10,760.9,187.4
end16_05,16,14,16,22,0,g2_pd02,37,0,50,50,5.0,C9,672.2,211.8,C10,780.8,180.1
end12_01,12,12,12,22,8,g2_pd03,23,0,50,50,5.0,C9,653.0,195.1,B8,584.3,99.7
end12_02,12,9,12,22,2,g2_pd04,11,0,50,50,5.0,C8,609.7,185.0,B11,824.0,110.9
end12_03,12,8,12,22,0,g2_pd04,23,40,90,50,5.0,B6,438.1,88.8,B8,600.9,88.2
end12_04,12,14,12,22,0,g2_pd05,11,45,95,50,5.0,B9,642.4,115.8,C11,821.7,176.3
end12_05,12,9,12,22,4,g2_pd05,23,0,50,50,5.0,D8,565.6,245.1,C10,725.3,200.2
end10_01,10,12,10,22,0,g2_pd04,37,30,80,50,5.0,A9,678.2,2.0,C5,349.8,213.2
end10_02,10,8,10,22,8,g2_pd05,37,0,50,50,5.0,D8,566.0,244.9,C8,637.0,209.9
end10_03,10,3,10,22,3,g2_pd06,11,45,95,50,5.0,C12,904.2,193.7,C9,651.9,172.3
end10_04,10,11,10,22,0,g2_pd06,23,10,60,50,5.0,C9,656.1,198.7,C13,994.0,179.5
end10_05,10,12,10,22,0,g2_pd06,37,10,60,50,5.0,C9,656.7,198.8,C11,850.0,206.5
end06_01,6,7,6,22,12,g2_pd07,11,0,50,50,5.0,B7,517.0,151.1,C8,619.7,171.2
end06_02,6,7,6,22,12,g2_pd07,23,0,50,50,5.0,B7,516.8,151.1,C9,679.5,183.0
end06_03,6,7,6,22,12,g2_pd07,37,0,50,50,5.0,B7,516.8,151.1,D10,729.2,263.3
end06_04,6,5,6,22,8,g2_pd08,11,0,50,50,5.0,D10,731.9,309.5,C14,1109.2,220.5
end06_05,6,5,6,22,10,g2_pd08,37,0,50,50,5.0,D10,731.6,309.5,C12,931.1,165.7
