clip,situation,description,players_in_frame_start,players_in_frame_end,players_in_frame_delta,players_in_frame_min,players_in_frame_max,ball_start_cell,ball_final_cell,zone_start,zone_end,ball_direction,ball_travel_m,ball_net_m,ball_apex_m,airborne_fraction,possession_start,possession_end,possession_changes,players_near_ball_start,players_near_ball_end,crowding_end,restart_seconds_into_clip,restart_visible_in_clip,shape,seed,match,start_frame,end_frame,camera_offset_x,camera_offset_y
clip_01,goalkeeper distribution,"Keeper releases the ball 0.7 s into the clip; net movement 26 m towards the blue goal over 39 m of travel, finishing in the red defensive third; lofted to 4.0 m; 1 player around it at the end (isolated); red in possession at the end.",,8,,,,D11,D5,red defensive third,red defensive third,towards the blue goal,38.7,25.9,4.05,0.472,red,red,0,2,1,isolated,0.72,true,mid_bal,328,mid_bal_s328,426,551,24.0,10.0
clip_02,goalkeeper distribution,"Keeper releases the ball 1.5 s into the clip; net movement 25 m towards the red goal over 32 m of travel, finishing in the blue defensive third; lofted to 3.9 m; 1 player around it at the end (isolated); blue in possession at the end.",,8,,,,B4,C6,blue defensive third,blue defensive third,towards the red goal,31.9,25.2,3.95,0.64,blue,blue,0,1,1,isolated,1.52,true,mid_push,333,mid_push_s333,1725,1850,0.0,-2.0
clip_03,goalkeeper distribution,"Keeper releases the ball 1.5 s into the clip; net movement 17 m towards the red goal over 27 m of travel, finishing in the blue defensive third; lofted to 3.2 m; 1 player around it at the end (isolated); blue in possession at the end; 10 people in shot at the start and 9 at the end (-1).",10,9,-1,8,14,B4,B5,blue defensive third,blue defensive third,towards the red goal,26.8,17.2,3.2,0.592,blue,blue,0,1,1,isolated,1.52,true,mid_bal,349,mid_bal_s349,2071,2196,6.0,-7.0
clip_04,kick-off,"Kick-off restart 0.2 s into the clip; net movement 20 m towards the red goal over 22 m of travel, finishing in the red defensive third; 2 players around it at the end (contested); blue in possession at the end; 3 changes of possession.",,9,,,,E1,E3,middle third,red defensive third,towards the red goal,22.3,20.2,0.21,0.0,loose,blue,3,4,2,contested,0.2,true,mid_bal,331,mid_bal_s331,6,131,20.0,10.0
clip_05,goalkeeper distribution,"Keeper releases the ball 0.7 s into the clip; net movement 16 m towards the blue goal over 33 m of travel, finishing in the red defensive third; lofted to 3.8 m; 1 player around it at the end (isolated); red in possession at the end.",,10,,,,D8,E6,red defensive third,red defensive third,towards the blue goal,32.6,16.5,3.79,0.432,red,red,0,2,1,isolated,0.72,true,flankR,322,flankR_s322,1483,1608,16.0,10.0
clip_06,open play,"Open play in the red defensive third; net movement 1 m across the pitch over 20 m of travel, finishing in the red defensive third; 2 players around it at the end (contested); blue in possession at the end; 10 people in shot at the start and 10 at the end (unchanged).",10,10,0,9,10,D7,D7,red defensive third,red defensive third,across the pitch,19.8,1.2,0.14,0.0,blue,blue,0,2,2,contested,,,flankL,314,flankL_s314,660,785,24.0,8.0
clip_07,open play,"Open play in the red defensive third; net movement 15 m towards the red goal over 23 m of travel, finishing in the red defensive third; 1 player around it at the end (isolated); blue in possession at the end; 8 people in shot at the start and 11 at the end (+3).",8,11,3,8,11,E4,E10,red defensive third,red defensive third,towards the red goal,23.1,15.0,0.16,0.0,blue,blue,0,1,1,isolated,,,countR,334,countR_s334,1585,1710,20.0,8.0
clip_08,open play,"Open play in the blue defensive third; net movement 9 m across the pitch over 25 m of travel, finishing in the blue defensive third; 2 players around it at the end (contested); red in possession at the end.",,11,,,,F9,F10,blue defensive third,blue defensive third,across the pitch,25.0,9.2,0.26,0.0,red,red,0,2,2,contested,,,flankR,309,flankR_s309,1050,1175,-16.0,10.0
clip_09,corner kick,"Corner kick taken 0.2 s into the clip; net movement 32 m towards the red goal over 42 m of travel, finishing in the blue defensive third; lofted to 2.9 m; 3 players around it at the end (contested); red in possession at the end; 1 change of possession.",,12,,,,B5,D11,blue defensive third,blue defensive third,towards the red goal,42.2,32.1,2.87,0.376,loose,red,1,1,3,contested,0.2,true,flankR,316,flankR_s316,265,390,-24.0,8.0
clip_10,corner kick,"Corner kick taken 0.0 s into the clip; net movement 25 m towards the red goal over 49 m of travel, finishing in the blue defensive third; lofted to 2.9 m; 2 players around it at the end (contested); nobody in possession at the end; 1 change of possession.",,12,,,,B3,C3,blue defensive third,blue defensive third,towards the red goal,49.2,24.9,2.87,0.248,loose,loose,1,1,2,contested,0.0,true,wideR,348,wideR_s348,2383,2508,16.0,6.0
clip_11,corner kick,"Corner kick taken 0.4 s into the clip; net movement 27 m towards the red goal over 48 m of travel, finishing in the blue defensive third; lofted to 2.9 m; 2 players around it at the end (contested); nobody in possession at the end; 1 change of possession.",,13,,,,F4,C10,blue defensive third,blue defensive third,towards the red goal,47.9,26.7,2.87,0.32,loose,loose,1,1,2,contested,0.4,true,countR,322,countR_s322,2334,2459,-16.0,0.0
clip_12,goalkeeper distribution,"Keeper releases the ball 0.3 s into the clip; net movement 21 m towards the blue goal over 33 m of travel, finishing in the red defensive third; lofted to 3.8 m; 2 players around it at the end (contested); red in possession at the end.",,13,,,,C16,D15,red defensive third,red defensive third,towards the blue goal,33.3,21.4,3.77,0.352,red,red,0,2,2,contested,0.32,true,wideR,310,wideR_s310,616,741,-12.0,3.0
