clip,situation,players_in_frame_last,players_in_play,players_hidden,start_team,start_team_colour,ball_final_cell,final_px,final_py,ball_start_cell,start_px,start_py,offset_x,offset_y,shape,seed,match,start_frame,end_frame,n_frames,seconds,loose,apex,dnear,ball_path,coherence
clip_01,gk_throw,8,22,0,B,red,D5,363.2,295.8,D11,870.8,293.8,24.0,10.0,mid_bal,328,mid_bal_s328,426,551,125,5.0,0.328,4.047,0.895,0.57,2.1447
clip_02,gk_throw,8,22,0,A,blue,C6,406.4,200.0,B4,298.8,137.9,0.0,-2.0,mid_push,333,mid_push_s333,1725,1850,125,5.0,0.336,3.948,0.611,0.418,2.0585
clip_03,gk_throw,9,22,0,A,blue,B5,374.4,123.1,B4,247.6,123.9,6.0,-7.0,mid_bal,349,mid_bal_s349,2071,2196,125,5.0,0.312,3.202,0.666,0.399,1.7911
clip_04,kickoff,9,22,0,B,red,E3,227.0,356.4,E1,46.8,356.4,20.0,10.0,mid_bal,331,mid_bal_s331,6,131,125,5.0,0.04,0.206,0.606,0.395,0.2958
clip_05,gk_throw,10,22,0,B,red,E6,408.5,343.8,D8,619.2,284.4,16.0,10.0,flankR,322,flankR_s322,1483,1608,125,5.0,0.28,3.793,0.749,0.469,1.9325
clip_06,open,10,22,0,A,blue,D7,520.2,259.3,D7,525.6,243.4,24.0,8.0,flankL,314,flankL_s314,660,785,125,5.0,0.0,0.14,0.436,0.333,0.1527
clip_07,open,11,22,0,A,blue,E10,726.7,351.8,E4,265.5,337.5,20.0,8.0,countR,334,countR_s334,1585,1710,125,5.0,0.0,0.156,0.535,0.375,0.1826
clip_08,open,11,22,0,B,red,F10,777.6,401.3,F9,667.0,409.5,-16.0,10.0,flankR,309,flankR_s309,1050,1175,125,5.0,0.192,0.26,0.632,0.358,0.6233
clip_09,corner,12,22,0,A,blue,D11,849.6,316.0,B5,371.7,98.2,-24.0,8.0,flankR,316,flankR_s316,265,390,125,5.0,0.616,2.869,0.929,0.601,2.3608
clip_10,corner,12,22,0,B,red,C3,215.0,187.1,B3,213.4,98.9,16.0,6.0,wideR,348,wideR_s348,2383,2508,125,5.0,0.424,2.865,0.941,0.693,1.9786
clip_11,corner,13,22,0,A,blue,C10,724.4,162.5,F4,247.0,428.0,-16.0,0.0,countR,322,countR_s322,2334,2459,125,5.0,0.528,2.867,0.813,0.663,2.1551
clip_12,gk_throw,13,22,0,B,red,D15,1138.6,260.4,C16,1278.3,188.0,-12.0,3.0,wideR,310,wideR_s310,616,741,125,5.0,0.296,3.765,0.862,0.502,1.9841
clip_13,corner,14,22,0,B,red,D13,1013.6,283.4,B5,371.7,99.0,-12.0,6.0,mid_even2,334,mid_even2_s334,1854,1979,125,5.0,0.456,2.849,0.958,0.744,2.0418
clip_14,corner,14,22,0,A,blue,A8,603.0,78.4,A12,886.6,20.8,12.0,-5.0,mid_r,339,mid_r_s339,740,865,125,5.0,0.504,3.195,0.821,0.666,2.2117
clip_15,open,15,22,0,B,red,E7,553.2,327.9,D7,543.0,255.5,0.0,6.0,boxL,308,boxL_s308,235,360,125,5.0,0.0,0.162,0.766,0.499,0.2424
clip_16,open,15,22,0,A,blue,F12,897.4,425.3,E10,780.0,380.2,0.0,10.0,flankL,309,flankL_s309,170,295,125,5.0,0.0,0.152,0.527,0.372,0.1793
clip_17,open,16,22,0,A,blue,A13,966.2,70.7,B13,1009.0,80.5,-16.0,-7.0,flankL,313,flankL_s313,1310,1435,125,5.0,0.168,0.571,0.578,0.447,0.6588
clip_18,open,16,22,0,B,red,F2,90.0,423.3,D2,154.6,316.4,12.0,10.0,wideL,347,wideL_s347,1070,1195,125,5.0,0.0,0.154,0.703,0.385,0.2239
clip_19,kickoff,17,22,0,A,blue,E5,376.7,322.7,E6,470.7,326.7,6.0,10.0,mid_even,316,mid_even_s316,985,1110,125,5.0,0.032,0.183,0.631,0.37,0.2791
clip_20,open,17,22,0,B,red,A2,149.6,47.7,B1,57.9,114.1,16.0,-9.0,countR,343,countR_s343,1005,1130,125,5.0,0.184,0.224,0.418,0.331,0.5425
clip_21,kickoff,18,22,0,A,blue,D1,61.5,287.0,D4,318.7,269.8,12.0,6.0,mid_even2,316,mid_even2_s316,6,131,125,5.0,0.008,0.161,0.738,0.577,0.2506
clip_22,open,18,22,0,B,red,B1,61.7,107.3,B3,165.0,103.2,16.0,-5.0,wideR,337,wideR_s337,155,280,125,5.0,0.112,0.201,0.749,0.421,0.474
clip_23,kickoff,19,22,0,A,blue,C13,998.7,192.7,C12,930.5,218.0,-12.0,0.0,mid_bal,324,mid_bal_s324,1471,1596,125,5.0,0.008,0.373,0.71,0.341,0.3101
clip_24,kickoff,19,22,0,B,red,A12,891.5,78.3,B10,765.1,112.4,-6.0,-9.0,mid_even2,305,mid_even2_s305,682,807,125,5.0,0.0,0.176,0.771,0.478,0.2476
