clip,shape,seed,scenario_sha,play_sha,steps,logged_steps,start_frame,end_frame,offset_x,offset_y,determinism_ok,render_invariant_ok,determinism_first_diff,render_invariant_first_diff
clip_01,mid_bal,328,cdde2b5521e6e517b26e9e6ab5788a25f202a6130cad27443f8653d605de9409,981fe804ee340208a7b6abe5a945fe308d8bf1c6cbacc996fc81613ad0670800,551,551,426,551,24.0,10.0,True,True,,
clip_02,mid_push,333,2c1d98ec513d7df7b3df05b8447fb40c65be815855863d0afe0721d647fa5066,00fd0db27bf32f90c47296e5e59bfaaddb03d4e1da4b199ba2f27e28672ea803,1850,1850,1725,1850,0.0,-2.0,True,True,,
clip_03,mid_bal,349,cdde2b5521e6e517b26e9e6ab5788a25f202a6130cad27443f8653d605de9409,b593411f04bffbf9fbe68d51117d10adbea8112cf6d891a3e159eec5cb992493,2196,2196,2071,2196,6.0,-7.0,True,True,,
clip_04,mid_bal,331,cdde2b5521e6e517b26e9e6ab5788a25f202a6130cad27443f8653d605de9409,596ca6e54ee57d90aa388a5b4fe30656ec4e4892921819e5d1550383f091e359,131,131,6,131,20.0,10.0,True,True,,
clip_05,flankR,322,4b5578f36d1cee66c2c7100533c0f22b9793c3f79b46dbbcb605a378413162c0,b6cd54cad560dc03b8ab389a47cc8c572429e067618ca9b352f6ea038980436e,1608,1608,1483,1608,16.0,10.0,True,True,,
clip_06,flankL,314,64f85f9fc154f0af6f65d52722bb024ff7be1b59c2da0c203132ee4e64fd89d2,b8ef7396f31c3f0ec21a995aa3a7a40df20c9b0d0457a8f19db2c0802a77ecb4,785,785,660,785,24.0,8.0,True,True,,
clip_07,countR,334,8921ada5659b54d251b76bf5ca0b81e7802a9a983156da1a1e2af71ec5d0d4ac,16f02cc172e5847558329272945b5a26256894646fd77c72e9ed66aa436dc908,1710,1710,1585,1710,20.0,8.0,True,True,,
clip_08,flankR,309,4b5578f36d1cee66c2c7100533c0f22b9793c3f79b46dbbcb605a378413162c0,16a53201509cf236214cf82acab96123793216afbc813ba4b2f505d79d05bd08,1175,1175,1050,1175,-16.0,10.0,True,True,,
clip_09,flankR,316,4b5578f36d1cee66c2c7100533c0f22b9793c3f79b46dbbcb605a378413162c0,98315152d3f83c1f80b2eca2f4904c39c8d233ac851a63433b77c38274299e1e,390,390,265,390,-24.0,8.0,True,True,,
clip_10,wideR,348,6e2d6476f4267d4422c06cd5aa21e12dd8ace7429ea809ebe4b6a5e2c70832c8,a27830a4c1e9ae0b607e7bc1f3d0cf88d4af3511d07ecebfee611e6906474c2c,2508,2508,2383,2508,16.0,6.0,True,True,,
clip_11,countR,322,8921ada5659b54d251b76bf5ca0b81e7802a9a983156da1a1e2af71ec5d0d4ac,30ebcdc3228f537d612e02dbd576ddb79a80ed1637e28e551a3abd34b966ac82,2459,2459,2334,2459,-16.0,0.0,True,True,,
clip_12,wideR,310,6e2d6476f4267d4422c06cd5aa21e12dd8ace7429ea809ebe4b6a5e2c70832c8,8c53afbade04c7e7f82fc19052e4ea4963b33aee2ca9108f85b4579c32557307,741,741,616,741,-12.0,3.0,True,True,,
clip_13,mid_even2,334,1ba5dd5feb9d582b4d49c8fef30cdd625cc3b49c3c443265760a174b21fbd7af,8347a565cc0d70bf54018f991ac2054e5ec997b6d35075c0edce98101d4fcce7,1979,1979,1854,1979,-12.0,6.0,True,True,,
clip_14,mid_r,339,24900565a50308879757b98e8c13918c6c88ac3fe98d52f5567308b83a9a8488,750bdc521fd131c2175b9ab7b209582591cbebbc26873277cea3f5ffc37ccfe3,865,865,740,865,12.0,-5.0,True,True,,
clip_15,boxL,308,5fb51104ec8b8f4187e101fa35cba796a66b84bce1bd0d0c90ec69296f933668,70dc5a8911c7c8dd66031dcc0ab42e00dfdb456fafe830d8126363da0ce51bd2,360,360,235,360,0.0,6.0,True,True,,
clip_16,flankL,309,64f85f9fc154f0af6f65d52722bb024ff7be1b59c2da0c203132ee4e64fd89d2,2d2fdcf2dd002f9083a7bb12aa490890bdcbb74cd803bb4714e5940035183b6c,295,295,170,295,0.0,10.0,True,True,,
clip_17,flankL,313,64f85f9fc154f0af6f65d52722bb024ff7be1b59c2da0c203132ee4e64fd89d2,07d7a50baf71afd4914483684bdff8bfc24f4388ab52f845376f2384452ba269,1435,1435,1310,1435,-16.0,-7.0,True,True,,
clip_18,wideL,347,50f306d8d6303b23e50289e75a36b25570d8ee8fe922af21503212bc986ef9c6,661ab7f8e78572ced77c0b284d439eebc5398c04f2dca9f931518a212a6a339d,1195,1195,1070,1195,12.0,10.0,True,True,,
clip_19,mid_even,316,172572172c4f0f53425c49b4974872ca009ce507e813f6bcaa13f0a05ca9c36d,3ddeaa6b73d6ae9ef096446fffa3e0126f5839f0e8e0eb758103c429c2e5b88f,1110,1110,985,1110,6.0,10.0,True,True,,
clip_20,countR,343,8921ada5659b54d251b76bf5ca0b81e7802a9a983156da1a1e2af71ec5d0d4ac,927f4bbe18d64f7de652d03bba4201ee14d07b59c0fb0aec236d640556ce7df3,1130,1130,1005,1130,16.0,-9.0,True,True,,
clip_21,mid_even2,316,1ba5dd5feb9d582b4d49c8fef30cdd625cc3b49c3c443265760a174b21fbd7af,ea8179cce68d5560f00cd09b292f7481b8ca1a8137971a45b1497f275bda62f4,131,131,6,131,12.0,6.0,True,True,,
