clip,situation,people_final_measured,people_final_clearly_visible,people_final_incl_shadow_only,people_final_published,published_verdict,blue_final,red_final,keepers_final,people_first,people_min,people_max,edge_slivers_final,shadow_only_final,smallest_body_px,restart_s,restart_taker_in_shot,same_play_as,ball_final_cell,match,window,camera_offset
clip_01,corner kick,8,8,9,8,matches,5,3,none,3,3,9,0,1,188,0.16,yes,,B16,mid_push_s329,1781-1906,"-20,+10"
clip_02,goalkeeper distribution,8,8,8,8,matches,5,3,L0,12,6,12,0,0,191,1.12,yes,,D5,boxL_s318,2227-2352,"+0,-7"
clip_03,goalkeeper distribution,9,9,9,9,matches,4,5,R0,13,8,13,0,0,391,1.32,yes,,D7,mid_push_s349,335-460,"+24,+3"
clip_04,goalkeeper distribution,7,7,10,9,wrong,3,4,none,10,6,10,0,3,155,0.52,yes,,A15,wideL_s345,721-846,"-24,-9"
clip_05,corner kick,11,10,11,10,borderline,4,7,R0,3,3,15,1,0,39,0.4,yes,,C8,mid_even_s321,1812-1937,"+6,-2"
clip_06,kick-off,10,10,10,10,matches,6,4,L0,11,9,14,0,0,183,0.0,yes,clip_15 clip_19,A13,mid_even_s340,10-135,"-20,-9"
clip_07,corner kick,11,11,11,11,matches,5,6,none,4,4,15,0,0,290,0.0,yes,,C4,countL_s339,1007-1132,"+16,+6"
clip_08,corner kick,12,10,13,11,wrong,6,6,none,13,7,20,2,1,49,0.0,NO,,D13,wideR_s347,446-571,"-12,+6"
clip_09,goalkeeper distribution,13,12,13,12,borderline,7,6,none,12,12,14,1,0,32,0.12,yes,,B2,wideL_s324,2080-2205,"+12,-7"
clip_10,open play,13,12,13,12,borderline,7,6,L0,9,6,12,1,0,84,,,,F12,mid_r_s328,165-290,"-24,+10"
clip_11,goalkeeper distribution,13,13,13,13,matches,8,5,L0,14,11,14,0,0,142,1.32,yes,,C6,countL_s335,2381-2506,"+0,-2"
clip_12,open play,14,12,14,13,wrong,7,7,L0,16,12,16,2,0,24,,,,F7,boxL_s338,635-760,"-6,+6"
clip_13,open play,12,11,14,14,wrong,6,6,R0,12,10,14,1,2,52,,,,A6,flankL_s333,185-310,"+24,-9"
clip_14,open play,14,14,15,14,matches,7,7,L0,11,11,15,0,1,160,,,,F8,wideR_s314,655-780,"-24,+10"
clip_15,kick-off,16,15,17,15,borderline,9,7,none,13,12,16,1,1,39,0.0,yes,clip_06 clip_19,B11,mid_bal_s340,10-135,"-12,-5"
clip_16,open play,16,14,16,15,wrong,8,8,none,13,13,16,2,0,92,,,,A1,mid_push_s334,1745-1870,"+20,-9"
clip_17,corner kick,16,13,16,16,matches,8,8,R0,3,3,17,3,0,66,0.0,yes,,A9,mid_even_s343,2386-2511,"+0,-9"
clip_18,open play,16,16,16,16,matches,8,8,R0,14,14,16,0,0,174,,,,E14,mid_push_s326,1760-1885,"-12,+6"
clip_19,kick-off,17,17,17,17,matches,8,9,none,12,12,17,0,0,269,0.2,yes,clip_06 clip_15,D4,mid_even2_s340,5-130,"+12,+10"
clip_20,open play,17,17,17,17,matches,9,8,none,14,14,17,0,0,147,,,,B3,mid_push_s341,1610-1735,"+16,-9"
clip_21,kick-off,18,16,18,18,matches,9,9,none,12,12,18,2,0,53,0.16,yes,,B14,mid_bal_s347,5-130,"-16,-7"
clip_22,open play,18,18,18,18,matches,9,9,none,14,14,18,0,0,185,,,,E10,mid_r_s327,350-475,"+0,+8"
clip_23,kick-off,19,19,19,19,matches,9,10,none,13,13,20,0,0,176,0.16,yes,,C12,mid_even2_s349,5-130,"-6,-2"
clip_24,open play,19,19,19,19,matches,10,9,none,14,14,19,0,0,250,,,,E11,mid_r_s303,130-255,"-6,+10"
