clip,kind,passes,turnovers,touches
clip_01,gk_throw,1,0,2
clip_02,open,0,0,1
clip_03,gk_throw,1,0,2
clip_04,gk_throw,1,0,2
clip_05,kickoff,0,2,3
clip_06,open,0,0,1
clip_07,corner,0,1,2
clip_08,kickoff,0,1,3
clip_09,corner,1,0,2
clip_10,open,1,0,2
clip_11,gk_throw,1,0,3
clip_12,open,0,0,1
clip_13,gk_throw,1,0,2
clip_14,open,0,2,3
clip_15,corner,0,0,1
clip_16,corner,0,3,4
clip_17,corner,0,2,4
clip_18,open,0,0,1
clip_19,kickoff,0,1,2
clip_20,open,0,2,3
clip_21,kickoff,0,1,3
clip_22,open,0,0,2
clip_23,kickoff,0,1,3
clip_24,open,1,0,2
