clip,situation,description,players_in_frame_start,players_in_frame_end,players_in_frame_delta,players_in_frame_min,players_in_frame_max,ball_start_cell,ball_final_cell,zone_start,zone_end,ball_direction,ball_travel_m,ball_net_m,ball_apex_m,airborne_fraction,possession_start,possession_end,possession_changes,players_near_ball_start,players_near_ball_end,crowding_end,restart_seconds_into_clip,restart_visible_in_clip,shape,seed,match,start_frame,end_frame,camera_offset_x,camera_offset_y,same_play_as
clip_01,goalkeeper distribution,"Keeper releases the ball 1.1 s into the clip; net movement 28 m across the pitch over 32 m of travel, finishing in the blue defensive third; lofted to 4.4 m; 1 player around it at the end (isolated); blue in possession at the end; 12 people in shot at the start and 8 at the end (-4).",12,8,-4,6,12,B5,D5,blue defensive third,blue defensive third,across the pitch,31.8,27.6,4.43,0.624,blue,blue,0,1,1,isolated,1.12,true,boxL,318,boxL_s318,2227,2352,0.0,-7.0,
clip_02,open play,"Open play in the blue defensive third; net movement 5 m across the pitch over 21 m of travel, finishing in the blue defensive third; 1 player around it at the end (isolated); red in possession at the end; 9 people in shot at the start and 8 at the end (-1).",9,8,-1,8,11,D11,D12,blue defensive third,blue defensive third,across the pitch,21.2,4.7,0.15,0.0,red,red,0,1,1,isolated,,,wideR,339,wideR_s339,145,270,-16.0,6.0,
clip_03,goalkeeper distribution,"Keeper releases the ball 1.3 s into the clip; net movement 21 m towards the blue goal over 37 m of travel, finishing in the red defensive third; lofted to 4.3 m; 2 players around it at the end (contested); nobody in possession at the end; 13 people in shot at the start and 9 at the end (-4).",13,9,-4,8,13,C12,D7,red defensive third,red defensive third,towards the blue goal,36.7,21.1,4.28,0.616,red,loose,0,1,2,contested,1.32,true,mid_push,349,mid_push_s349,335,460,24.0,3.0,
clip_04,goalkeeper distribution,"Keeper releases the ball 0.3 s into the clip; net movement 23 m towards the red goal over 34 m of travel, finishing in the blue defensive third; lofted to 3.7 m; 2 players around it at the end (contested); nobody in possession at the end; 10 people in shot at the start and 9 at the end (-1).",10,9,-1,6,10,A9,A15,blue defensive third,blue defensive third,towards the red goal,34.3,22.8,3.7,0.416,blue,loose,0,2,2,contested,0.32,true,wideL,345,wideL_s345,726,851,-24.0,-9.0,
clip_05,kick-off,"Kick-off restart 0.0 s into the clip; net movement 20 m towards the blue goal over 23 m of travel, finishing in the blue defensive third; 2 players around it at the end (contested); red in possession at the end; 3 changes of possession; 11 people in shot at the start and 10 at the end (-1).",11,10,-1,9,14,B14,A13,middle third,blue defensive third,towards the blue goal,23.1,19.7,0.16,0.0,blue,red,3,4,2,contested,0.0,true,mid_even,340,mid_even_s340,10,135,-20.0,-9.0,
clip_06,open play,"Open play in the blue defensive third; net movement 13 m towards the blue goal over 22 m of travel, finishing in the blue defensive third; 1 player around it at the end (isolated); nobody in possession at the end; 5 people in shot at the start and 10 at the end (+5).",5,10,5,5,11,D11,D6,blue defensive third,blue defensive third,towards the blue goal,21.7,12.6,0.18,0.0,red,loose,0,1,1,isolated,,,wideR,349,wideR_s349,685,810,-16.0,10.0,
clip_07,corner kick,"Corner kick taken 0.0 s into the clip; net movement 25 m towards the blue goal over 53 m of travel, finishing in the red defensive third; lofted to 2.9 m; 3 players around it at the end (contested); blue in possession at the end; 1 change of possession; 4 people in shot at the start and 11 at the end (+7).",4,11,7,4,15,B12,C4,red defensive third,red defensive third,towards the blue goal,53.5,24.9,2.87,0.44,loose,blue,1,1,3,contested,0.0,true,countL,339,countL_s339,1007,1132,16.0,6.0,
clip_08,kick-off,"Kick-off restart 0.2 s into the clip; net movement 22 m towards the blue goal over 25 m of travel, finishing in the blue defensive third; 1 player around it at the end (isolated); red in possession at the end; 1 change of possession; 11 people in shot at the start and 11 at the end (unchanged).",11,11,0,9,14,B14,B13,middle third,blue defensive third,towards the blue goal,25.3,22.2,0.16,0.0,loose,red,1,4,1,isolated,0.16,true,mid_bal,338,mid_bal_s338,5,130,-20.0,-5.0,
clip_09,corner kick,"Corner kick taken 0.0 s into the clip; net movement 22 m towards the blue goal over 51 m of travel, finishing in the red defensive third; lofted to 3.2 m; 0 players around it at the end (isolated); nobody in possession at the end; 3 people in shot at the start and 12 at the end (+9).",3,12,9,3,15,E13,C8,red defensive third,red defensive third,towards the blue goal,51.3,21.9,3.15,0.408,loose,loose,0,1,0,isolated,0.0,true,mid_even,321,mid_even_s321,1822,1947,6.0,-2.0,
clip_10,open play,"Open play in the red defensive third; net movement 16 m towards the blue goal over 29 m of travel, finishing in the red defensive third; 3 players around it at the end (contested); blue in possession at the end; 12 people in shot at the start and 12 at the end (unchanged).",12,12,0,10,14,B10,A6,red defensive third,red defensive third,towards the blue goal,29.3,15.9,0.31,0.0,blue,blue,0,2,3,contested,,,flankL,333,flankL_s333,185,310,24.0,-9.0,
