clip,situation,players_in_frame_last,players_in_play,players_hidden,start_team,start_team_colour,ball_final_cell,final_px,final_py,ball_start_cell,start_px,start_py,offset_x,offset_y,shape,seed,match,start_frame,end_frame,n_frames,seconds,loose,apex,dnear,ball_path,coherence
clip_01,gk_throw,8,22,0,A,blue,D5,321.7,245.8,B5,356.2,116.1,0.0,-7.0,boxL,318,boxL_s318,2227,2352,125,5.0,0.432,4.433,0.461,0.394,2.3647
clip_02,open,8,22,0,B,red,D12,932.4,245.9,D11,866.1,270.5,-16.0,6.0,wideR,339,wideR_s339,145,270,125,5.0,0.0,0.147,0.531,0.34,0.1786
clip_03,gk_throw,9,22,0,B,red,D7,502.5,263.3,C12,881.2,195.2,24.0,3.0,mid_push,349,mid_push_s349,335,460,125,5.0,0.392,4.275,0.689,0.503,2.2923
clip_04,gk_throw,9,22,0,A,blue,A15,1168.1,74.5,A9,710.2,62.4,-24.0,-9.0,wideL,345,wideL_s345,726,851,125,5.0,0.64,3.695,0.957,0.531,2.674
clip_05,kickoff,10,22,0,A,blue,A13,1033.0,70.0,B14,1090.4,93.6,-20.0,-9.0,mid_even,340,mid_even_s340,10,135,125,5.0,0.08,0.157,0.651,0.388,0.3719
clip_06,open,10,22,0,B,red,D6,457.7,309.4,D11,830.8,273.9,-16.0,10.0,wideR,349,wideR_s349,685,810,125,5.0,0.168,0.177,0.608,0.334,0.5433
clip_07,corner,11,22,0,B,red,C4,311.1,216.6,B12,907.6,98.4,16.0,6.0,countL,339,countL_s339,1007,1132,125,5.0,0.576,2.867,0.903,0.743,2.2738
clip_08,kickoff,11,22,0,A,blue,B13,981.8,128.3,B14,1117.0,141.3,-20.0,-5.0,mid_bal,338,mid_bal_s338,5,130,125,5.0,0.04,0.159,0.712,0.427,0.3075
clip_09,corner,12,22,0,B,red,C8,588.2,185.3,E13,1022.1,391.2,6.0,-2.0,mid_even,321,mid_even_s321,1822,1947,125,5.0,0.512,3.151,0.943,0.706,2.2445
clip_10,open,12,22,0,A,blue,A6,434.6,70.0,B10,745.8,97.4,24.0,-9.0,flankL,333,flankL_s333,185,310,125,5.0,0.08,0.312,0.499,0.474,0.3822
clip_11,gk_throw,13,22,0,A,blue,B2,158.2,125.1,B1,31.7,83.5,12.0,-7.0,wideL,324,wideL_s324,2080,2205,125,5.0,0.376,3.634,0.962,0.457,2.128
clip_12,open,13,22,0,B,red,F12,914.2,408.1,C15,1120.2,239.2,-24.0,10.0,mid_r,328,mid_r_s328,165,290,125,5.0,0.24,0.336,0.795,0.559,0.7838
clip_13,gk_throw,14,22,0,A,blue,B9,654.8,110.5,B7,498.0,107.2,-6.0,-5.0,boxL,329,boxL_s329,2361,2486,125,5.0,0.648,3.671,0.993,0.595,2.6916
clip_14,open,14,22,0,B,red,F7,523.8,400.9,E9,642.2,340.1,-6.0,6.0,boxL,338,boxL_s338,635,760,125,5.0,0.0,0.155,0.498,0.342,0.1729
clip_15,corner,15,22,0,A,blue,C5,327.9,162.5,A12,886.1,20.5,12.0,-5.0,flankR,337,flankR_s337,839,964,125,5.0,0.592,2.869,1.164,0.992,2.3717
clip_16,corner,15,22,0,B,red,A8,627.4,53.4,A12,881.4,4.5,6.0,-7.0,mid_even,323,mid_even_s323,2130,2255,125,5.0,0.672,2.867,1.527,0.727,2.6215
clip_17,corner,16,22,0,B,red,A9,669.5,59.1,E13,1011.0,357.9,0.0,-9.0,mid_even,343,mid_even_s343,2386,2511,125,5.0,0.64,2.865,1.1,0.618,2.4503
clip_18,open,16,22,0,A,blue,E14,1097.5,346.5,E14,1080.8,327.0,-12.0,6.0,mid_push,326,mid_push_s326,1760,1885,125,5.0,0.0,0.3,0.849,0.506,0.3059
clip_19,kickoff,17,22,0,A,blue,C8,572.7,197.6,D6,477.5,252.8,6.0,3.0,mid_bal,307,mid_bal_s307,12,137,125,5.0,0.248,0.58,0.717,0.402,0.8565
clip_20,open,17,22,0,B,red,B3,166.9,151.4,A3,176.0,73.1,16.0,-9.0,mid_push,341,mid_push_s341,1610,1735,125,5.0,0.08,0.361,0.654,0.356,0.4363
clip_21,kickoff,18,22,0,B,red,B14,1081.4,113.5,B13,1002.2,138.0,-16.0,-7.0,mid_bal,347,mid_bal_s347,5,130,125,5.0,0.048,0.152,0.689,0.346,0.3158
clip_22,open,18,22,0,A,blue,E10,725.0,330.3,E11,815.0,362.2,0.0,8.0,mid_r,327,mid_r_s327,350,475,125,5.0,0.0,0.157,0.581,0.339,0.1941
clip_23,kickoff,19,22,0,B,red,C12,959.7,163.0,C10,774.0,193.5,-6.0,-2.0,mid_even2,349,mid_even2_s349,5,130,125,5.0,0.04,0.16,0.774,0.519,0.3234
clip_24,open,19,22,0,A,blue,E11,873.8,374.7,E9,656.9,343.4,-6.0,10.0,mid_r,303,mid_r_s303,130,255,125,5.0,0.08,0.304,0.811,0.524,0.4578
