shape,seed,score_frame,seconds,before,after,scorer,ball_x,ball_y,ball_z
boxL,300,1043,41.7,0-0,1-0,A_blue,1.009,-0.034,0.451
boxL,301,1146,45.8,0-0,0-1,B_red,-1.009,-0.047,0.748
boxL,303,770,30.8,0-0,0-1,B_red,-1.017,0.009,1.609
boxL,304,745,29.8,0-0,0-1,B_red,-1.014,-0.039,0.186
boxL,305,467,18.7,0-0,1-0,A_blue,1.006,-0.043,0.176
boxL,309,1836,73.4,0-0,1-0,A_blue,1.016,0.012,0.11
boxL,310,937,37.5,0-0,0-1,B_red,-1.004,-0.034,2.119
boxL,310,1459,58.4,0-1,1-1,A_blue,1.009,-0.016,0.126
boxL,310,2748,109.9,1-1,2-1,A_blue,1.017,-0.035,0.253
boxL,311,820,32.8,0-0,0-1,B_red,-1.006,-0.041,1.935
boxL,312,2527,101.1,0-0,0-1,B_red,-1.015,0.039,0.121
boxL,314,1159,46.4,0-0,0-1,B_red,-1.016,-0.017,0.235
boxL,316,2325,93.0,0-0,1-0,A_blue,1.015,0.023,0.292
boxL,317,1505,60.2,0-0,1-0,A_blue,1.003,-0.004,0.129
boxL,317,1715,68.6,1-0,2-0,A_blue,1.015,-0.002,0.585
boxL,319,1899,76.0,0-0,1-0,A_blue,1.009,0.009,0.129
boxL,321,827,33.1,0-0,0-1,B_red,-1.013,0.018,0.322
boxL,321,1859,74.4,0-1,1-1,A_blue,1.001,-0.014,0.77
boxL,321,2535,101.4,1-1,2-1,A_blue,1.006,-0.024,0.155
boxL,324,1771,70.8,0-0,1-0,A_blue,1.011,-0.038,1.589
boxL,325,300,12.0,0-0,1-0,A_blue,1.018,-0.02,0.86
boxL,327,1377,55.1,0-0,1-0,A_blue,1.012,-0.018,0.821
boxL,327,1772,70.9,1-0,1-1,B_red,-1.012,-0.04,0.42
boxL,328,2214,88.6,0-0,0-1,B_red,-1.015,0.039,0.109
boxL,329,1585,63.4,0-0,0-1,B_red,-1.013,0.021,1.741
boxL,330,1980,79.2,0-0,1-0,A_blue,1.01,-0.038,1.075
boxL,331,637,25.5,0-0,1-0,A_blue,1.015,0.016,0.105
boxL,331,2146,85.8,1-0,2-0,A_blue,1.015,0.003,0.148
boxL,332,479,19.2,0-0,0-1,B_red,-1.006,0.026,0.169
boxL,332,710,28.4,0-1,0-2,B_red,-1.004,-0.019,0.223
boxL,332,1491,59.6,0-2,1-2,A_blue,1.013,-0.03,0.354
boxL,333,275,11.0,0-0,0-1,B_red,-0.999,0.035,1.053
boxL,335,1964,78.6,0-0,1-0,A_blue,1.013,-0.019,1.052
boxL,335,2197,87.9,1-0,2-0,A_blue,1.008,-0.006,0.105
boxL,336,402,16.1,0-0,0-1,B_red,-1.003,0.038,0.231
boxL,336,1990,79.6,0-1,1-1,A_blue,1.011,0.023,0.621
boxL,336,2170,86.8,1-1,2-1,A_blue,1.004,0.04,1.566
boxL,338,1139,45.6,0-0,1-0,A_blue,1.0,-0.019,1.327
boxL,340,1717,68.7,0-0,1-0,A_blue,1.009,-0.039,1.328
boxL,340,1894,75.8,1-0,2-0,A_blue,1.016,-0.038,0.36
boxL,340,2074,83.0,2-0,3-0,A_blue,1.007,-0.034,1.098
boxL,341,1364,54.6,0-0,1-0,A_blue,1.015,0.033,1.187
boxL,341,1860,74.4,1-0,1-1,B_red,-1.0,0.027,0.443
boxL,342,2634,105.4,0-0,0-1,B_red,-1.011,-0.004,0.14
boxL,343,1343,53.7,0-0,1-0,A_blue,1.004,-0.021,0.353
boxL,343,1551,62.0,1-0,2-0,A_blue,1.013,-0.018,0.171
boxL,343,2142,85.7,2-0,2-1,B_red,-1.012,0.013,0.109
