clip,situation,level,key_frame,start_frame,end_frame,n_frames,seconds,ball_start_cell,start_px,start_py,ball_final_cell,final_px,final_py,detail
header_01,header,ms_v27,207,185,251,66,6.6,A7,505.4,16.6,C9,653.3,177.0,{"level": "ms_v27"; "frame": 207; "z": 2.47; "contested_by": 3; "apex_in": 9.61; "score": 39.6}
header_02,header,ms_v05,575,553,619,66,6.6,A7,523.9,34.5,C11,825.4,187.2,{"level": "ms_v05"; "frame": 575; "z": 1.98; "contested_by": 3; "apex_in": 9.3; "score": 39.3}
header_03,header,ms_v27,891,869,935,66,6.6,C7,486.0,203.6,C8,592.7,237.7,{"level": "ms_v27"; "frame": 891; "z": 2.12; "contested_by": 2; "apex_in": 5.82; "score": 25.8}
header_04,header,ms_v11,840,818,884,66,6.6,B10,723.2,130.6,C8,572.8,188.1,{"level": "ms_v11"; "frame": 840; "z": 1.62; "contested_by": 2; "apex_in": 1.9; "score": 21.9}
header_05,header,ms_v13,612,590,656,66,6.6,C9,702.0,178.0,C12,904.9,194.0,{"level": "ms_v13"; "frame": 612; "z": 1.32; "contested_by": 2; "apex_in": 2.4; "score": 22.4}
corner_kick_01,corner,pr_v26,503,503,583,80,8.0,A10,751.2,63.1,C9,658.5,194.9,{"level": "pr_v26"; "frame": 503; "apex": 5.22; "contested_by": 5; "score": 55.218600273132324}
corner_kick_02,corner,pr_v21,37,37,117,80,8.0,A10,751.2,62.9,C9,706.7,161.8,{"level": "pr_v21"; "frame": 37; "apex": 4.67; "contested_by": 5; "score": 54.67009925842285}
corner_kick_03,corner,pr_v19,181,181,261,80,8.0,A10,751.2,63.1,C12,916.3,169.5,{"level": "pr_v19"; "frame": 181; "apex": 5.4; "contested_by": 4; "score": 45.40013408660889}
corner_kick_04,corner,wd_v35,205,205,285,80,8.0,F11,808.9,427.8,C10,739.2,182.9,{"level": "wd_v35"; "frame": 205; "apex": 7.43; "contested_by": 3; "score": 37.42658281326294}
corner_kick_05,corner,ms_v23,268,268,348,80,8.0,A10,751.2,63.1,B8,577.0,147.8,{"level": "ms_v23"; "frame": 268; "apex": 6.43; "contested_by": 4; "score": 46.4}
goalkeeper_throw_01,gk_throw,ms_v27,633,623,695,72,7.2,C11,806.7,163.3,C9,715.5,167.0,{"level": "ms_v27"; "catch": 633; "hand_frames": 4; "release": 647; "apex": 4.59; "travel": 0.609; "score": 64.9}
goalkeeper_throw_02,gk_throw,ms_v20,651,641,713,72,7.2,C6,431.7,221.1,B7,537.0,101.4,{"level": "ms_v20"; "catch": 651; "hand_frames": 5; "release": 663; "apex": 6.64; "travel": 0.584; "score": 63.4}
goalkeeper_throw_03,gk_throw,ms_v37,658,648,720,72,7.2,C6,437.1,208.0,C6,453.0,213.2,{"level": "ms_v37"; "catch": 658; "hand_frames": 15; "release": 680; "apex": 4.73; "travel": 0.294; "score": 44.4}
goalkeeper_throw_04,gk_throw,ms_v05,118,108,180,72,7.2,C11,863.0,177.0,A10,798.5,65.7,{"level": "ms_v05"; "catch": 118; "hand_frames": 13; "release": 137; "apex": 4.0; "travel": 0.261; "score": 39.1}
goalkeeper_throw_05,gk_throw,ms_v15,434,424,496,72,7.2,C6,437.5,186.4,C7,499.7,205.5,{"level": "ms_v15"; "catch": 434; "hand_frames": 9; "release": 454; "apex": 3.68; "travel": 0.226; "score": 31.6}
