clip,file,seed,ball_cell,grid_row,grid_col,px,py
1,clip_01.mov,42,D5,D,5,394.9,242.8
2,clip_02.mov,42,D8,D,8,601.0,274.7
3,clip_03.mov,42,C5,C,5,345.0,195.5
4,clip_04.mov,42,C7,C,7,551.5,203.0
5,clip_05.mov,42,C9,C,9,681.7,214.8
6,clip_06.mov,42,C9,C,9,709.2,221.3
7,clip_07.mov,7,D6,D,6,431.9,278.7
8,clip_08.mov,7,C7,C,7,514.9,167.9
9,clip_09.mov,7,B8,B,8,564.6,150.7
10,clip_10.mov,7,C8,C,8,604.8,164.1
11,clip_11.mov,7,B6,B,6,451.4,147.1
12,clip_12.mov,7,C7,C,7,513.6,170.8
13,clip_13.mov,11,C8,C,8,623.2,209.4
14,clip_14.mov,11,D9,D,9,703.8,260.4
15,clip_15.mov,11,D12,D,12,901.6,246.0
16,clip_16.mov,11,C11,C,11,865.0,213.6
17,clip_17.mov,11,B9,B,9,715.2,93.2
18,clip_18.mov,11,C7,C,7,519.1,189.5
19,clip_19.mov,23,C12,C,12,932.7,223.8
20,clip_20.mov,23,C9,C,9,672.2,183.7
21,clip_21.mov,23,C11,C,11,813.3,190.0
22,clip_22.mov,23,B8,B,8,560.0,148.2
23,clip_23.mov,23,C9,C,9,664.9,180.1
24,clip_24.mov,23,C10,C,10,723.1,190.1
25,clip_25.mov,3,C9,C,9,650.1,193.3
26,clip_26.mov,3,C9,C,9,709.6,222.3
27,clip_27.mov,3,C8,C,8,570.4,186.3
28,clip_28.mov,3,C7,C,7,507.5,202.0
29,clip_29.mov,3,D8,D,8,588.3,261.1
30,clip_30.mov,3,C10,C,10,758.2,173.0
