clip,file,seed,ball_cell,grid_row,grid_col,px,py,target_cell,natural_cell,offset_x,offset_y
1,clip_01.mov,42,E7,E,7,533.0,359.5,E7,D5,-5.569,7.852
2,clip_02.mov,42,E5,E,5,334.5,321.1,D5,D8,9.027,3.005
3,clip_03.mov,42,E8,E,8,562.9,345.9,E11,C5,-8.967,10.683
4,clip_04.mov,42,B7,B,7,524.9,124.9,B11,C7,1.367,-6.485
5,clip_05.mov,7,E8,E,8,621.5,365.0,E8,D6,-6.938,5.596
6,clip_06.mov,7,C15,C,15,1136.3,195.9,C15,C7,-24.522,2.284
7,clip_07.mov,7,C4,C,4,315.1,183.4,C4,B8,10.326,3.008
8,clip_08.mov,7,D12,D,12,930.3,256.4,D12,C8,-12.711,7.768
9,clip_09.mov,11,D13,D,13,1021.2,274.7,D13,C8,-14.712,4.883
10,clip_10.mov,11,F11,F,11,819.7,441.8,F10,D9,-3.386,11.566
11,clip_11.mov,11,E12,E,12,921.2,361.6,E9,D12,0.242,7.65
12,clip_12.mov,11,B8,B,8,620.8,139.7,B7,C11,9.381,-5.936
13,clip_13.mov,23,D10,D,10,784.3,274.9,D10,C12,6.065,3.932
14,clip_14.mov,23,E8,E,8,636.0,332.8,E8,C9,1.466,11.373
15,clip_15.mov,23,E6,E,6,409.7,350.2,F2,C11,15.138,12.0
16,clip_16.mov,23,D7,D,7,541.6,300.4,E7,B8,0.188,12.0
17,clip_17.mov,3,D12,D,12,944.2,272.2,D12,C9,-10.81,5.954
18,clip_18.mov,3,C4,C,4,268.3,199.9,C4,C9,16.348,-1.682
19,clip_19.mov,3,D8,D,8,613.8,272.4,D8,C8,-1.817,6.39
20,clip_20.mov,3,D8,D,8,608.4,272.8,D8,C7,-4.071,5.377
21,clip_21.mov,5,C7,C,7,521.8,200.0,C7,C9,6.617,0.223
22,clip_22.mov,5,D12,D,12,895.7,279.9,D1,C12,-0.15,3.063
23,clip_23.mov,5,C9,C,9,660.2,200.4,C8,C11,6.618,-2.352
24,clip_24.mov,5,A9,A,9,653.1,24.4,D6,C10,10.226,4.107
25,clip_25.mov,17,E13,E,13,975.4,358.2,E12,C6,-18.694,8.476
26,clip_26.mov,17,D11,D,11,840.2,310.9,C11,D7,-9.941,2.202
27,clip_27.mov,17,D10,D,10,778.2,278.1,D10,C11,1.873,3.664
28,clip_28.mov,17,D11,D,11,848.3,304.0,D11,D10,-3.086,1.821
29,clip_29.mov,31,C11,C,11,837.2,195.0,C11,C9,-6.061,2.155
30,clip_30.mov,31,D6,D,6,444.8,279.1,D6,C10,11.101,3.752
