clip,seed,ball_start_cell,start_px,start_py
1,42,C8,570.8,213.8
2,42,D5,391.2,242.4
3,42,D8,599.0,265.6
4,42,C5,344.8,195.4
5,42,B9,650.2,152.5
6,42,C9,676.1,207.6
7,7,C8,576.0,211.5
8,7,D6,448.2,267.5
9,7,C7,518.2,160.5
10,7,B8,581.2,152.7
11,7,C8,604.3,163.9
12,7,B6,451.8,148.1
13,11,C8,574.0,211.7
14,11,C9,661.2,197.7
15,11,D9,702.5,261.3
16,11,D12,894.4,244.3
17,11,C11,873.5,220.5
18,11,B9,693.1,107.5
19,23,C8,575.5,211.4
20,23,C12,936.2,223.6
21,23,C9,659.8,182.8
22,23,C7,540.3,171.6
23,23,B8,573.9,132.6
24,23,C9,673.2,187.8
25,3,C8,568.4,212.8
26,3,C9,646.5,196.5
27,3,C9,715.3,227.3
28,3,C8,565.0,184.4
29,3,C7,505.4,200.7
30,3,D8,576.4,260.2
