clip,file,seed,ball_cell,grid_row,grid_col,px,py
1,clip_01.mov,42,G10,G,10,394.9,242.8
2,clip_02.mov,42,G16,G,16,601.0,274.7
3,clip_03.mov,42,E9,E,9,345.0,195.5
4,clip_04.mov,42,F14,F,14,551.5,203.0
5,clip_05.mov,42,F18,F,18,681.7,214.8
6,clip_06.mov,42,F18,F,18,709.2,221.3
7,clip_07.mov,7,G11,G,11,431.9,278.7
8,clip_08.mov,7,E13,E,13,514.9,167.9
9,clip_09.mov,7,D15,D,15,564.6,150.7
10,clip_10.mov,7,E16,E,16,604.8,164.1
11,clip_11.mov,7,D12,D,12,451.4,147.1
12,clip_12.mov,7,E13,E,13,513.6,170.8
13,clip_13.mov,11,F16,F,16,623.2,209.4
14,clip_14.mov,11,G18,G,18,703.8,260.4
15,clip_15.mov,11,G23,G,23,901.6,246.0
16,clip_16.mov,11,F22,F,22,865.0,213.6
17,clip_17.mov,11,C18,C,18,715.2,93.2
18,clip_18.mov,11,E13,E,13,519.1,189.5
19,clip_19.mov,23,F24,F,24,932.7,223.8
20,clip_20.mov,23,E17,E,17,672.2,183.7
21,clip_21.mov,23,E21,E,21,813.3,190.0
22,clip_22.mov,23,D15,D,15,560.0,148.2
23,clip_23.mov,23,E17,E,17,664.9,180.1
24,clip_24.mov,23,E19,E,19,723.1,190.1
25,clip_25.mov,3,E17,E,17,650.1,193.3
26,clip_26.mov,3,F18,F,18,709.6,222.3
27,clip_27.mov,3,E15,E,15,570.4,186.3
28,clip_28.mov,3,F13,F,13,507.5,202.0
29,clip_29.mov,3,G15,G,15,588.3,261.1
30,clip_30.mov,3,E19,E,19,758.2,173.0
